customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100000,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),74.23,449.55,No
C100001,Male,1,Yes,Yes,42,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,27.88,1166.69,No
C100002,Female,0,Yes,No,56,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),109.42,6124.85,No
C100003,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),57.81,61.95,No
C100004,Male,0,Yes,No,5,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,38.17,194.14,No
C100005,Female,0,No,No,68,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),85.88,5838.06,No
C100006,Male,0,No,No,64,Yes,No,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),73.33,4694.5,No
C100007,Female,1,Yes,No,58,Yes,No,No,No,No internet service,No,No,No internet service,Yes,Two year,No,Credit card (automatic),28.35,1643.68,Yes
C100008,Female,1,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),21.08,741.6,No
C100009,Female,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),41.76,3002.05,Yes
C100010,Female,0,No,No,64,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.36,1498.38,No
C100011,Female,0,No,No,38,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,103.76,3942.97,Yes
